day,weekday,time,file,text,category
1,monday,09:00,130.jpg,it's monday somewhere. unfortunately it's here,weekday
1,monday,13:00,137.jpg,new week. same me. better excuses,weekday
1,monday,19:00,117.jpg,my weekend personality writes checks my monday body can't cash,weekend
1,monday,23:00,140.jpg,september is the monday of months,seasonal
2,tuesday,09:00,141.jpg,new season. same coping mechanisms,seasonal
2,tuesday,13:00,131.jpg,tuesday is just monday's echo,weekday
2,tuesday,19:00,143.jpg,summer body has been rescheduled to next year. again,seasonal
2,tuesday,23:00,142.jpg,autumn: when hot drinks become a personality,seasonal
3,wednesday,09:00,144.jpg,the year is 70% done and so am i,seasonal
3,wednesday,13:00,132.jpg,wednesday: too late to restart the week. too early to give up,weekday
3,wednesday,19:00,145.jpg,sweater weather is just hiding weather,seasonal
3,wednesday,23:00,089.jpg,brain: remember that dumb thing you said? me: it's 3am,overthink
4,thursday,09:00,086.jpg,my thoughts have a night shift,overthink
4,thursday,13:00,133.jpg,thursday is friday's opening act,weekday
4,thursday,19:00,110.jpg,i go out to remember why i stay in,weekend
4,thursday,23:00,078.jpg,friendship is sending memes with no context and being understood,social
5,friday,09:00,101.jpg,naps are just little rehearsals for bedtime,sleep
5,friday,13:00,139.jpg,weekend loading... 1%,weekday
5,friday,19:00,106.jpg,friday me makes promises monday me has to survive,weekend
5,friday,23:00,147.jpg,normalize resting without earning it,wholesome
6,saturday,09:00,135.jpg,saturday morning me is the best version of me,weekday
6,saturday,13:00,108.jpg,saturday: recover from friday. sunday: dread monday,weekend
6,saturday,19:00,079.jpg,my brain remembers embarrassing moments from 2014 but not passwords,overthink
6,saturday,23:00,115.jpg,i danced like nobody was filming. somebody was filming,weekend
7,sunday,09:00,093.jpg,i self reflect until it becomes self roasting,overthink
7,sunday,13:00,004.jpg,i didn't wanna order delivery but the kitchen was so far,excuse
7,sunday,19:00,113.jpg,weekend goals: nothing. achieved: everything,weekend
7,sunday,23:00,112.jpg,sunday evening hits like an unpaid bill,weekend
